Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-05-15,132.55,135.21,132.04,134.68,9733490.0,0.0,1.0,132.55,135.21,132.04,134.68,9733490.0
2019-05-14,133.52,134.66,132.05,133.2,11963093.0,0.0,1.0,133.52,134.66,132.05,133.2,11963093.0
2019-05-13,131.5,132.66,130.55,131.34,11389896.0,0.0,1.0,131.5,132.66,130.55,131.34,11389896.0
2019-05-10,133.01,134.32,131.23,134.04,9856019.0,0.0,1.0,133.01,134.32,131.23,134.04,9856019.0
2019-05-09,135.03,136.48,132.84,133.59,15297051.0,0.0,1.0,135.03,136.48,132.84,133.59,15297051.0
2019-05-08,133.5,135.7,133.31,134.99,15381991.0,0.0,1.0,133.5,135.7,133.31,134.99,15381991.0
2019-05-07,135.35,135.97,132.76,133.44,10950647.0,0.0,1.0,135.35,135.97,132.76,133.44,10950647.0
2019-05-06,132.54,135.33,132.3,135.0,9955629.0,0.0,1.0,132.54,135.33,132.3,135.0,9955629.0
2019-05-03,135.22,135.31,133.78,134.33,8870544.0,0.0,1.0,135.22,135.31,133.78,134.33,8870544.0
2019-05-02,135.38,135.69,132.38,134.14,16580402.0,0.0,1.0,135.38,135.69,132.38,134.14,16580402.0
2019-05-01,137.49,138.17,136.235,136.38,8906731.0,0.0,1.0,137.49,138.17,136.235,136.38,8906731.0
2019-04-30,139.12,139.39,136.03,136.97,15253088.0,0.0,1.0,139.12,139.39,136.03,136.97,15253088.0
2019-04-29,142.19,142.37,137.61,139.3,25746100.0,0.0,1.0,142.19,142.37,137.61,139.3,25746100.0
2019-04-26,138.7,140.04,137.51,139.92,14167589.0,0.0,1.0,138.7,140.04,137.51,139.92,14167589.0
2019-04-25,135.36,138.8799,134.84,137.24,16382455.0,0.0,1.0,135.36,138.8799,134.84,137.24,16382455.0
2019-04-24,133.11,135.75,132.72,135.1,11446953.0,0.0,1.0,133.11,135.75,132.72,135.1,11446953.0
2019-04-23,133.39,134.24,132.65,133.36,12152689.0,0.0,1.0,133.39,134.24,132.65,133.36,12152689.0
2019-04-22,131.9,132.2,131.0325,131.68,10197506.0,0.0,1.0,131.9,132.2,131.0325,131.68,10197506.0
2019-04-18,131.77,132.87,131.11,132.45,11889510.0,0.0,1.0,131.77,132.87,131.11,132.45,11889510.0
2019-04-17,129.81,132.36,129.28,131.75,14200363.0,0.0,1.0,129.81,132.36,129.28,131.75,14200363.0
2019-04-16,131.75,132.1299,129.56,129.9,14552702.0,0.0,1.0,131.75,132.1299,129.56,129.9,14552702.0
2019-04-15,131.05,132.7,129.79,132.04,32596842.0,0.0,1.0,131.05,132.7,129.79,132.04,32596842.0
2019-04-12,127.91,130.9,126.36,130.06,65191654.0,0.0,1.0,127.91,130.9,126.36,130.06,65191654.0
2019-04-11,117.73,117.86,116.32,116.6,12762813.0,0.0,1.0,117.73,117.86,116.32,116.6,12762813.0
2019-04-10,117.58,118.03,116.28,117.16,14091055.0,0.0,1.0,117.58,118.03,116.28,117.16,14091055.0
2019-04-09,115.61,117.1641,115.28,116.86,17338459.0,0.0,1.0,115.61,117.1641,115.28,116.86,17338459.0
2019-04-08,115.0,115.83,114.635,114.96,11052327.0,0.0,1.0,115.0,115.83,114.635,114.96,11052327.0
2019-04-05,114.97,115.13,114.3061,115.0,10905880.0,0.0,1.0,114.97,115.13,114.3061,115.0,10905880.0
2019-04-04,113.24,114.8569,113.03,114.75,14377528.0,0.0,1.0,113.24,114.8569,113.03,114.75,14377528.0
2019-04-03,112.7,113.11,112.21,112.52,10530928.0,0.0,1.0,112.7,113.11,112.21,112.52,10530928.0
2019-04-02,113.15,113.305,111.92,111.96,9231214.0,0.0,1.0,113.15,113.305,111.92,111.96,9231214.0
2019-04-01,111.59,112.865,111.38,112.51,10785064.0,0.0,1.0,111.59,112.865,111.38,112.51,10785064.0
2019-03-29,111.56,111.6,110.39,111.03,15964376.0,0.0,1.0,111.56,111.6,110.39,111.03,15964376.0
2019-03-28,110.6,111.27,110.24,110.71,11748463.0,0.0,1.0,110.6,111.27,110.24,110.71,11748463.0
2019-03-27,110.45,111.09,109.7329,110.28,10671331.0,0.0,1.0,110.45,111.09,109.7329,110.28,10671331.0
2019-03-26,108.4,110.34,108.27,110.14,16651713.0,0.0,1.0,108.4,110.34,108.27,110.14,16651713.0
2019-03-25,108.49,109.07,107.32,107.79,18012222.0,0.0,1.0,108.49,109.07,107.32,107.79,18012222.0
2019-03-22,108.33,109.0,107.51,108.23,23023381.0,0.0,1.0,108.33,109.0,107.51,108.23,23023381.0
2019-03-21,110.1,110.15,108.37,108.66,27127190.0,0.0,1.0,110.1,110.15,108.37,108.66,27127190.0
2019-03-20,110.31,110.88,108.05,109.99,35555166.0,0.0,1.0,110.31,110.88,108.05,109.99,35555166.0
2019-03-19,112.95,113.7085,109.8,110.0,45368772.0,0.0,1.0,112.95,113.7085,109.8,110.0,45368772.0
2019-03-18,113.03,114.0,112.46,113.12,21768532.0,0.0,1.0,113.03,114.0,112.46,113.12,21768532.0
2019-03-15,114.5,115.48,113.68,114.96,14932667.0,0.0,1.0,114.5,115.48,113.68,114.96,14932667.0
2019-03-14,114.12,114.77,113.93,114.48,17409583.0,0.0,1.0,114.12,114.77,113.93,114.48,17409583.0
2019-03-13,114.84,114.85,113.72,114.09,17945930.0,0.0,1.0,114.84,114.85,113.72,114.09,17945930.0
2019-03-12,114.72,115.3,114.04,114.73,9920275.0,0.0,1.0,114.72,115.3,114.04,114.73,9920275.0
2019-03-11,114.04,115.0,114.03,114.75,6951361.0,0.0,1.0,114.04,115.0,114.03,114.75,6951361.0
2019-03-08,113.46,113.84,112.9,113.81,6549073.0,0.0,1.0,113.46,113.84,112.9,113.81,6549073.0
2019-03-07,114.8499,114.9,113.47,114.01,6323610.0,0.0,1.0,114.8499,114.9,113.47,114.01,6323610.0
2019-03-06,114.0,115.05,114.0,114.85,7352761.0,0.0,1.0,114.0,115.05,114.0,114.85,7352761.0
2019-03-05,114.23,114.54,113.76,114.0,5225121.0,0.0,1.0,114.23,114.54,113.76,114.0,5225121.0
2019-03-04,114.42,114.42,113.0944,114.33,6013871.0,0.0,1.0,114.42,114.42,113.0944,114.33,6013871.0
2019-03-01,113.45,114.4399,113.45,114.01,6995887.0,0.0,1.0,113.45,114.4399,113.45,114.01,6995887.0
2019-02-28,112.9,113.43,112.75,112.84,6711753.0,0.0,1.0,112.9,113.43,112.75,112.84,6711753.0
2019-02-27,113.095,113.5099,112.46,112.78,7249143.0,0.0,1.0,113.095,113.5099,112.46,112.78,7249143.0
2019-02-26,113.65,114.01,112.85,113.5,8955732.0,0.0,1.0,113.65,114.01,112.85,113.5,8955732.0
2019-02-25,115.62,115.8,113.46,113.59,9327690.0,0.0,1.0,115.62,115.8,113.46,113.59,9327690.0
2019-02-22,114.63,115.77,113.95,115.25,8734862.0,0.0,1.0,114.63,115.77,113.95,115.25,8734862.0
2019-02-21,113.4,114.54,112.87,114.29,9480098.0,0.0,1.0,113.4,114.54,112.87,114.29,9480098.0
2019-02-20,113.6,114.085,113.285,113.68,7081458.0,0.0,1.0,113.6,114.085,113.285,113.68,7081458.0
2019-02-19,112.91,113.77,112.83,113.51,8169630.0,0.0,1.0,112.91,113.77,112.83,113.51,8169630.0
2019-02-15,111.4,112.6325,111.03,112.59,8196216.0,0.0,1.0,111.4,112.6325,111.03,112.59,8196216.0
2019-02-14,109.85,111.495,109.54,110.66,6324378.0,0.0,1.0,109.85,111.495,109.54,110.66,6324378.0
2019-02-13,109.24,110.48,109.23,110.2,6919092.0,0.0,1.0,109.24,110.48,109.23,110.2,6919092.0
2019-02-12,110.21,110.83,109.15,109.2,7607201.0,0.0,1.0,110.21,110.83,109.15,109.2,7607201.0
2019-02-11,111.77,111.81,109.25,109.44,11086391.0,0.0,1.0,111.77,111.81,109.25,109.44,11086391.0
2019-02-08,110.46,111.54,110.0641,111.51,6343526.0,0.0,1.0,110.46,111.54,110.0641,111.51,6343526.0
2019-02-07,111.05,111.11,109.81,110.95,8639783.0,0.0,1.0,111.05,111.11,109.81,110.95,8639783.0
2019-02-06,113.85,113.92,111.07,111.41,14224556.0,0.0,1.0,113.85,113.92,111.07,111.41,14224556.0
2019-02-05,112.02,112.74,111.45,112.66,13417548.0,0.0,1.0,112.02,112.74,111.45,112.66,13417548.0
2019-02-04,111.41,111.98,110.68,111.8,7030688.0,0.0,1.0,111.41,111.98,110.68,111.8,7030688.0
2019-02-01,111.97,112.05,110.93,111.3,6511637.0,0.0,1.0,111.97,112.05,110.93,111.3,6511637.0
2019-01-31,110.1,111.54,110.01,111.52,8351629.0,0.0,1.0,110.1,111.54,110.01,111.52,8351629.0
2019-01-30,110.3,110.58,108.96,110.13,7852834.0,0.0,1.0,110.3,110.58,108.96,110.13,7852834.0
2019-01-29,110.65,110.9286,110.0046,110.9,5251265.0,0.0,1.0,110.65,110.9286,110.0046,110.9,5251265.0
2019-01-28,110.76,110.99,109.95,110.81,6178762.0,0.0,1.0,110.76,110.99,109.95,110.81,6178762.0
2019-01-25,111.4651,111.5,110.66,111.09,5710812.0,0.0,1.0,111.4651,111.5,110.66,111.09,5710812.0
2019-01-24,111.0,111.11,109.93,110.55,6716751.0,0.0,1.0,111.0,111.11,109.93,110.55,6716751.0
2019-01-23,111.19,111.84,110.0,111.12,6845560.0,0.0,1.0,111.19,111.84,110.0,111.12,6845560.0
2019-01-22,110.62,111.33,109.75,110.6,6986567.0,0.0,1.0,110.62,111.33,109.75,110.6,6986567.0
2019-01-18,111.86,111.93,110.8286,111.04,8554673.0,0.0,1.0,111.86,111.93,110.8286,111.04,8554673.0
2019-01-17,110.72,111.255,110.16,111.01,5120211.0,0.0,1.0,110.72,111.255,110.16,111.01,5120211.0
2019-01-16,111.45,112.01,110.81,110.91,5874439.0,0.0,1.0,111.45,112.01,110.81,110.91,5874439.0
2019-01-15,112.3,113.18,110.61,111.76,9776502.0,0.0,1.0,112.3,113.18,110.61,111.76,9776502.0
2019-01-14,111.65,112.695,111.43,112.42,6980623.0,0.0,1.0,111.65,112.695,111.43,112.42,6980623.0
2019-01-11,112.18,112.92,111.73,112.65,4819131.0,0.0,1.0,112.18,112.92,111.73,112.65,4819131.0
2019-01-10,111.99,112.91,111.5,112.8,6160065.0,0.0,1.0,111.99,112.91,111.5,112.8,6160065.0
2019-01-09,111.8,112.8,111.56,112.67,5931333.0,0.0,1.0,111.8,112.8,111.56,112.67,5931333.0
